,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
giniPerAgent_001,,0.00495306,0.0067564,0.00725514,0.00782136,0.00848455,0.0079219,0.007005,0.00709482,0.00737394,0.00728343,0.00659142,0.00536933,0.00489213,0.00637104,0.00759709,0.00922255,0.00838819,0.00870274,0.00868728,0.00787741,0.00859896,0.00780234,0.00886326,0.00876878,0.00863309,0.00792931,0.0109111,0.0106964,0.0139384,0.0093811,0.00990358,0.00898482,0.0105412,0.0115072,0.0143748,0.0177845,0.0159345,0.0196525,0.0208771,0.0260592,0.0230977,0.0284507,0.0283618,0.0300774,0.0345042,0.041003,0.044989,0.0511555,0.0573982,0.0628339,0.068934,0.0736831,0.0750575,0.0758662,0.0799744,0.0813016,0.0847042,0.0850208,0.0846221,0.0835769,0.0849805,0.0848738,0.0844927,0.0810468,0.0796207,0.0800017,0.0818581,0.0798853,0.0759368,0.0696495,0.065533,0.0613206,0.061252,0.061694,0.0641654,0.0649885,0.0676755,0.0694234,0.0700005,0.0696445,0.0719777,0.0729933,0.0742854,0.0714185,0.0717376,0.0706048,0.0720254,0.0713351,0.0735887,0.0692012,0.0682207,0.0636462,0.0646674,0.0673527,0.0720314,0.0777997,0.0826976,0.0859509,,
giniByGoup 0,,0.00495306,0.0067564,0.00725514,0.00782136,0.00848455,0.0079219,0.007005,0.00709482,0.00737394,0.00728343,0.00659142,0.00536933,0.00489213,0.00637104,0.00759709,0.00922255,0.00838819,0.00870274,0.00868728,0.00787741,0.00859896,0.00780234,0.00886326,0.00876878,0.00863309,0.00792931,0.0109111,0.0106964,0.0139384,0.0093811,0.00990358,0.00898482,0.0105412,0.0115072,0.0143748,0.0177845,0.0159345,0.0196525,0.0208771,0.0260592,0.0230977,0.0284507,0.0283618,0.0300774,0.0345042,0.041003,0.044989,0.0511555,0.0573982,0.0628339,0.068934,0.0736831,0.0750575,0.0758662,0.0799744,0.0813016,0.0847042,0.0850208,0.0846221,0.0835769,0.0849805,0.0848738,0.0844927,0.0810468,0.0796207,0.0800017,0.0818581,0.0798853,0.0759368,0.0696495,0.065533,0.0613206,0.061252,0.061694,0.0641654,0.0649885,0.0676755,0.0694234,0.0700005,0.0696445,0.0719777,0.0729933,0.0742854,0.0714185,0.0717376,0.0706048,0.0720254,0.0713351,0.0735887,0.0692012,0.0682207,0.0636462,0.0646674,0.0673527,0.0720314,0.0777997,0.0826976,0.0859509,,

giniPerAgent_002,,0.00423772,0.00515362,0.00649936,0.00812157,0.00954275,0.0101458,0.00989699,0.00768571,0.00724067,0.00776462,0.00754796,0.00732392,0.00743678,0.00692701,0.00752764,0.00704044,0.00878571,0.00857469,0.00985982,0.0101754,0.0098938,0.00936791,0.00920213,0.00978902,0.011754,0.0117994,0.01132,0.0109651,0.00827976,0.0101444,0.0118337,0.0139728,0.0131055,0.0120567,0.011431,0.0104466,0.0125679,0.0125557,0.0138312,0.0156543,0.0162164,0.0169693,0.0166381,0.0165839,0.0172362,0.0166324,0.0177408,0.0181306,0.0217269,0.0252593,0.030784,0.032729,0.0340721,0.0383623,0.0409593,0.0476017,0.0489144,0.0504293,0.0526634,0.0556868,0.0590568,0.063488,0.0635701,0.0654749,0.0636389,0.0661309,0.0667077,0.0692238,0.0710357,0.0726933,0.0748735,0.074754,0.0773588,0.0750707,0.0737901,0.0706047,0.0696864,0.0685502,0.067015,0.0665128,0.067723,0.0690723,0.068386,0.0695717,0.0683719,0.0659026,0.0612155,0.0575159,0.0563534,0.0587687,0.060161,0.0618052,0.0604095,0.0627413,0.0634751,0.0670377,0.0684734,0.0712795,,
giniByGoup 0,,0.00423772,0.00515362,0.00649936,0.00812157,0.00954275,0.0101458,0.00989699,0.00768571,0.00724067,0.00776462,0.00754796,0.00732392,0.00743678,0.00692701,0.00752764,0.00704044,0.00878571,0.00857469,0.00985982,0.0101754,0.0098938,0.00936791,0.00920213,0.00978902,0.011754,0.0117994,0.01132,0.0109651,0.00827976,0.0101444,0.0118337,0.0139728,0.0131055,0.0120567,0.011431,0.0104466,0.0125679,0.0125557,0.0138312,0.0156543,0.0162164,0.0169693,0.0166381,0.0165839,0.0172362,0.0166324,0.0177408,0.0181306,0.0217269,0.0252593,0.030784,0.032729,0.0340721,0.0383623,0.0409593,0.0476017,0.0489144,0.0504293,0.0526634,0.0556868,0.0590568,0.063488,0.0635701,0.0654749,0.0636389,0.0661309,0.0667077,0.0692238,0.0710357,0.0726933,0.0748735,0.074754,0.0773588,0.0750707,0.0737901,0.0706047,0.0696864,0.0685502,0.067015,0.0665128,0.067723,0.0690723,0.068386,0.0695717,0.0683719,0.0659026,0.0612155,0.0575159,0.0563534,0.0587687,0.060161,0.0618052,0.0604095,0.0627413,0.0634751,0.0670377,0.0684734,0.0712795,,

giniPerAgent_003,,0.0033835,0.00525308,0.00622906,0.00563394,0.00546167,0.00631516,0.0074224,0.00851274,0.00819578,0.00694283,0.00598295,0.0072378,0.00782201,0.00620504,0.00712809,0.00814632,0.00878868,0.00817674,0.00885027,0.0087306,0.00960336,0.00821887,0.00813921,0.00769403,0.00809614,0.0106583,0.00935446,0.00773123,0.00815835,0.00995668,0.0100926,0.00999528,0.00843995,0.00995281,0.0107235,0.0109285,0.00980931,0.0126326,0.0124067,0.0147201,0.0118753,0.0124675,0.00988755,0.0112096,0.0101445,0.012042,0.015067,0.015148,0.0158136,0.0162747,0.0212877,0.0220536,0.0244482,0.0252947,0.0312722,0.0350398,0.0447345,0.0490723,0.0563238,0.0600735,0.06283,0.065398,0.0654307,0.0673477,0.0673342,0.0692908,0.0714154,0.0731598,0.0739331,0.0739954,0.0728201,0.0732326,0.0746916,0.0771705,0.0806768,0.0829182,0.0832437,0.0820641,0.0795236,0.0775313,0.0761109,0.0723049,0.07063,0.0641383,0.0637403,0.0612616,0.0648386,0.0639166,0.064114,0.0619149,0.0586104,0.0566125,0.0572253,0.0588906,0.0579734,0.0552568,0.0508268,0.048127,,
giniByGoup 0,,0.0033835,0.00525308,0.00622906,0.00563394,0.00546167,0.00631516,0.0074224,0.00851274,0.00819578,0.00694283,0.00598295,0.0072378,0.00782201,0.00620504,0.00712809,0.00814632,0.00878868,0.00817674,0.00885027,0.0087306,0.00960336,0.00821887,0.00813921,0.00769403,0.00809614,0.0106583,0.00935446,0.00773123,0.00815835,0.00995668,0.0100926,0.00999528,0.00843995,0.00995281,0.0107235,0.0109285,0.00980931,0.0126326,0.0124067,0.0147201,0.0118753,0.0124675,0.00988755,0.0112096,0.0101445,0.012042,0.015067,0.015148,0.0158136,0.0162747,0.0212877,0.0220536,0.0244482,0.0252947,0.0312722,0.0350398,0.0447345,0.0490723,0.0563238,0.0600735,0.06283,0.065398,0.0654307,0.0673477,0.0673342,0.0692908,0.0714154,0.0731598,0.0739331,0.0739954,0.0728201,0.0732326,0.0746916,0.0771705,0.0806768,0.0829182,0.0832437,0.0820641,0.0795236,0.0775313,0.0761109,0.0723049,0.07063,0.0641383,0.0637403,0.0612616,0.0648386,0.0639166,0.064114,0.0619149,0.0586104,0.0566125,0.0572253,0.0588906,0.0579734,0.0552568,0.0508268,0.048127,,

giniPerAgent_004,,0.00392534,0.00605451,0.00721663,0.00635926,0.00549462,0.00574821,0.0056634,0.00669362,0.00715941,0.00841968,0.00742231,0.00615043,0.00624706,0.00801977,0.0068317,0.00738578,0.0067246,0.00792536,0.00727214,0.00817178,0.00708471,0.00668947,0.00694596,0.00802803,0.00838706,0.00784984,0.00996449,0.00976421,0.0103226,0.00750221,0.00661776,0.00633902,0.0053799,0.00552339,0.007385,0.007669,0.00670155,0.0096995,0.00979814,0.0112836,0.0132621,0.0119802,0.0135301,0.012754,0.0113961,0.0135667,0.0106297,0.0147941,0.0170467,0.0190428,0.0216637,0.0247494,0.0263445,0.0281035,0.0286853,0.0288114,0.0363297,0.0411748,0.0490471,0.05277,0.0565768,0.0587842,0.0633697,0.0665688,0.0695363,0.070383,0.0709366,0.0709401,0.0707066,0.0698557,0.0722486,0.0725638,0.0742392,0.0727736,0.0732139,0.0733495,0.074679,0.0778894,0.0790985,0.0805352,0.0820747,0.0840962,0.0822026,0.0796611,0.0783872,0.0773148,0.0762725,0.0732525,0.0705575,0.0680995,0.0686063,0.0694095,0.0730677,0.0786675,0.0845904,0.085829,0.0874348,0.0879932,,
giniByGoup 0,,0.00392534,0.00605451,0.00721663,0.00635926,0.00549462,0.00574821,0.0056634,0.00669362,0.00715941,0.00841968,0.00742231,0.00615043,0.00624706,0.00801977,0.0068317,0.00738578,0.0067246,0.00792536,0.00727214,0.00817178,0.00708471,0.00668947,0.00694596,0.00802803,0.00838706,0.00784984,0.00996449,0.00976421,0.0103226,0.00750221,0.00661776,0.00633902,0.0053799,0.00552339,0.007385,0.007669,0.00670155,0.0096995,0.00979814,0.0112836,0.0132621,0.0119802,0.0135301,0.012754,0.0113961,0.0135667,0.0106297,0.0147941,0.0170467,0.0190428,0.0216637,0.0247494,0.0263445,0.0281035,0.0286853,0.0288114,0.0363297,0.0411748,0.0490471,0.05277,0.0565768,0.0587842,0.0633697,0.0665688,0.0695363,0.070383,0.0709366,0.0709401,0.0707066,0.0698557,0.0722486,0.0725638,0.0742392,0.0727736,0.0732139,0.0733495,0.074679,0.0778894,0.0790985,0.0805352,0.0820747,0.0840962,0.0822026,0.0796611,0.0783872,0.0773148,0.0762725,0.0732525,0.0705575,0.0680995,0.0686063,0.0694095,0.0730677,0.0786675,0.0845904,0.085829,0.0874348,0.0879932,,

giniPerAgent_005,,0.00396395,0.00491646,0.00509812,0.00552738,0.0055914,0.0059388,0.00713835,0.00687201,0.00529179,0.0040389,0.00486253,0.00595062,0.00749107,0.00884921,0.00686147,0.00567466,0.00499007,0.00544061,0.00772174,0.0077595,0.00908786,0.00756302,0.00820435,0.00672706,0.00801792,0.00942592,0.00881055,0.00809058,0.00742921,0.00750316,0.00802339,0.00897331,0.0107876,0.00925483,0.00870497,0.00911785,0.0106994,0.0118967,0.0138919,0.0145977,0.0162714,0.017831,0.0192032,0.0233343,0.0184978,0.0188451,0.019184,0.0205837,0.0220369,0.0234877,0.0223885,0.0243801,0.0247519,0.0253299,0.0244718,0.0252845,0.0276904,0.0264908,0.0262644,0.0278064,0.032563,0.0304728,0.0328201,0.0354498,0.0380778,0.0402049,0.0397978,0.0403188,0.038154,0.039729,0.0416208,0.0461935,0.0479334,0.0506917,0.0525124,0.05687,0.0588458,0.0615835,0.0610393,0.0614552,0.0625662,0.0627406,0.0626794,0.0616544,0.0590001,0.0566894,0.0538688,0.0541752,0.0536904,0.0532322,0.0533923,0.0535787,0.0552909,0.0537751,0.053404,0.0509987,0.049727,0.0476107,,
giniByGoup 0,,0.00396395,0.00491646,0.00509812,0.00552738,0.0055914,0.0059388,0.00713835,0.00687201,0.00529179,0.0040389,0.00486253,0.00595062,0.00749107,0.00884921,0.00686147,0.00567466,0.00499007,0.00544061,0.00772174,0.0077595,0.00908786,0.00756302,0.00820435,0.00672706,0.00801792,0.00942592,0.00881055,0.00809058,0.00742921,0.00750316,0.00802339,0.00897331,0.0107876,0.00925483,0.00870497,0.00911785,0.0106994,0.0118967,0.0138919,0.0145977,0.0162714,0.017831,0.0192032,0.0233343,0.0184978,0.0188451,0.019184,0.0205837,0.0220369,0.0234877,0.0223885,0.0243801,0.0247519,0.0253299,0.0244718,0.0252845,0.0276904,0.0264908,0.0262644,0.0278064,0.032563,0.0304728,0.0328201,0.0354498,0.0380778,0.0402049,0.0397978,0.0403188,0.038154,0.039729,0.0416208,0.0461935,0.0479334,0.0506917,0.0525124,0.05687,0.0588458,0.0615835,0.0610393,0.0614552,0.0625662,0.0627406,0.0626794,0.0616544,0.0590001,0.0566894,0.0538688,0.0541752,0.0536904,0.0532322,0.0533923,0.0535787,0.0552909,0.0537751,0.053404,0.0509987,0.049727,0.0476107,,

giniPerAgent_006,,0.00403056,0.00499981,0.00617893,0.00725981,0.0079187,0.00719083,0.00630273,0.00620742,0.00606311,0.00585155,0.00545038,0.00576923,0.00643167,0.00687946,0.00669094,0.00746276,0.00843289,0.00951232,0.00903583,0.00873116,0.00794004,0.0076887,0.00763057,0.00833,0.00757748,0.00691001,0.00771366,0.00828207,0.00985581,0.00831223,0.00933277,0.0104291,0.00957785,0.00932255,0.0110678,0.011251,0.014018,0.0128674,0.0146974,0.0122492,0.0106498,0.0122572,0.0149988,0.0142325,0.015557,0.0136499,0.0132805,0.0112984,0.0118885,0.0124483,0.0150188,0.0164666,0.0179874,0.0189216,0.0201604,0.0179974,0.0193028,0.0214825,0.024122,0.0276981,0.0309375,0.0342204,0.0395708,0.0426189,0.0448327,0.0473185,0.046554,0.048641,0.0491648,0.0512544,0.0519769,0.0539101,0.0557579,0.0599638,0.0632856,0.0652374,0.0644301,0.0628441,0.0611816,0.0605572,0.0605618,0.0610051,0.0628171,0.0637992,0.0647403,0.0648004,0.0648284,0.0627897,0.0636205,0.0626195,0.0622063,0.0585585,0.0562385,0.055822,0.0546639,0.052642,0.0486231,0.046859,,
