UniqueKey,Config,Run,TimeStep,avgUtil,avgGathered,avgHeld,gini,complexity,T1_made,T2_made,T3_made,T4_made,T5_made,T6_made,totalUtil
B02102017222802257120124,dbtest1,001,1,11226,67,67,.,0,0,0,0,0,0,0,22452,
B02102017222802257120124,dbtest1,001,2,14155.5,119.5,67,0.000362239,0,0,0,0,0,0,0,28311,
B02102017222802257120124,dbtest1,001,3,15967.5,161.5,68,0.00100989,0,0,0,0,0,0,0,31935,
B02102017222802257120124,dbtest1,001,4,17497.5,203,68,0.00284037,0,0,0,0,0,0,0,34995,
B02102017222802257120124,dbtest1,001,5,18521,234,68,0.00391563,0,0,0,0,0,0,0,37042,
B02102017222802257120124,dbtest1,001,6,19168,255,68,0.00383716,0,0,0,0,0,0,0,38336,
B02102017222802257120124,dbtest1,001,7,19581.5,269,69,0.00216695,0,0,0,0,0,0,0,39163,
B02102017222802257120124,dbtest1,001,8,20083,286.5,69,0.0010799,0,0,0,0,0,0,0,40166,
B02102017222802257120124,dbtest1,001,9,20443,299.5,70,0.00385337,0,0,0,0,0,0,0,40886,
B02102017222802257120124,dbtest1,001,10,20591,305,70,0.0044788,0,0,0,0,0,0,0,41182,
B02102017222802257120124,dbtest1,001,11,21054.5,322.5,71,0.0057146,0,0,0,0,0,0,0,42109,
B02102017222802257120124,dbtest1,001,12,21429.5,337,72,0.0079862,0,0,0,0,0,0,0,42859,
B02102017222802257120124,dbtest1,001,13,21475,339,74,0.00955266,0,0,0,0,0,0,0,42950,
B02102017222802257120124,dbtest1,001,14,21456.5,338.5,75,0.00866986,0,0,0,0,0,0,0,42913,
B02102017222802257120124,dbtest1,001,15,21762.5,350.5,77,0.00651645,0,0,0,0,0,0,0,43525,
B02102017222802257120124,dbtest1,001,16,22180,367.5,78.5,0.00627809,0,0,0,0,0,0,0,44360,
B02102017222802257120124,dbtest1,001,17,22274.5,371.5,81,0.00582536,0,0,0,0,0,0,0,44549,
B02102017222802257120124,dbtest1,001,18,22524.5,382.5,84,0.00316925,0,0,0,0,0,0,0,45049,
B02102017222802257120124,dbtest1,001,19,23008,404,88,0.000712777,0,0,0,0,0,0,0,46016,
B02102017222802257120124,dbtest1,001,20,22622.5,468,181,0.00629263,5,8,0,0,0,0,0,45245,
B02102017222802257120124,dbtest1,001,21,22764,550,189,0.0078658,3.95503,3,0,0,0,0,0,45528,
B02102017222802257120124,dbtest1,001,22,23305,629,196,0.00618338,3.64796,2,0,0,0,0,0,46610,
B02102017222802257120124,dbtest1,001,23,23854,701,205.5,0.000839169,3.55231,2,0,0,0,0,0,47708,
B02102017222802257120124,dbtest1,001,24,24848.5,813.5,255.5,0.00548811,3.8454,1,0,0,0,0,0,49697,
B02102017222802257120124,dbtest1,001,25,23988.5,755,160.5,0.00919306,4.50156,10,0,0,0,0,0,47977,
