StartDate,StartTime,EndDate,EndTime, ElapsedSeconds,Config,Num_Runs,UniqueKey
3/20/2017,23:32:41,3/20/2017,23:32:43,2,T1_4_4,1,B20032017233241515467779
3/20/2017,23:32:41,3/20/2017,23:32:47,6,dbtest1,,B20032017233241620478318
3/20/2017,23:32:41,3/20/2017,23:33:22,41,T1_24_24,1,B20032017233241515991322
3/20/2017,23:32:41,3/20/2017,23:33:46,65,T4_4_4,10,B20032017233241525349231
03/20/17,23:32:41,03/21/17,01:12:13,5972,T4_24_24,10,B20032017233241599576401
03/23/17,22:52:57,03/23/17,22:53:00,3,T1_4_4,2,B23032017225257705856423
03/23/17,22:54:36,03/23/17,23:13:07,1111,T4_24_24,2,B23032017225436169068840
03/26/17,03:11:11,03/26/17,03:11:14,3,T1_4_4,2,B26032017031111509206430
03/26/17,03:18:05,03/26/17,03:18:08,3,T1_4_4,2,B26032017031805152209235
03/26/17,03:52:18,03/26/17,03:52:21,3,T1_4_4,2,B26032017035218171404299
03/26/17,03:54:06,03/26/17,03:54:19,13,T4_4_4,2,B26032017035406182409712
03/26/17,03:56:38,03/26/17,03:56:59,21,T4_24_24,2,B26032017035638205477765
03/26/17,04:00:45,03/26/17,04:00:55,10,T4_24_24,1,B26032017040045171434169
03/26/17,04:23:40,03/26/17,04:24:50,70,T4_4_4,10,B26032017042340602318831
03/26/17,04:23:40,03/26/17,04:25:29,109,T4_24_24,10,B26032017042340627189166
03/26/17,04:23:40,03/26/17,04:54:21,1841,T4_100_100,10,B26032017042340657126682
03/28/17,15:20:12,03/28/17,20:15:32,17720,T4_24_24_500,30,B28032017152012172332947
03/28/17,20:47:51,03/28/17,23:56:57,11346,T4_100_100,10,B28032017204751253418345
03/28/17,20:47:51,03/29/17,03:06:57,22746,T4_100_10,10,B28032017204751271778103
10/02/17,14:50:07,10/02/17,14:50:11,4,T1_4_4,2,B02102017145007618175217
10/02/17,15:32:43,10/02/17,15:32:46,3,T1_4_4,2,B02102017153243266019502
10/02/17,17:06:47,10/02/17,17:06:48,1,dbtest1,2,B02102017170647393554411
10/02/17,17:36:33,10/02/17,17:36:34,1,dbtest1,2,B02102017173633096854100
10/02/17,17:42:57,10/02/17,17:42:57,0,dbtest1,2,B02102017174257195438987
10/02/17,17:44:47,10/02/17,17:44:48,1,dbtest1,2,B02102017174447249674823
10/02/17,18:02:28,10/02/17,18:02:29,1,dbtest1,2,B02102017180228294146107
10/02/17,18:09:04,10/02/17,18:09:05,1,dbtest1,2,B02102017180904284771472
10/02/17,18:17:52,10/02/17,18:17:53,1,dbtest1,2,B02102017181752227718597
10/02/17,18:23:00,10/02/17,18:23:00,0,dbtest1,2,B02102017182300230327177
10/02/17,18:34:34,10/02/17,18:34:44,10,dbtest1,2,B02102017183434278987302
10/02/17,18:56:13,10/02/17,18:56:15,2,dbtest1,2,B02102017185613291040152
10/02/17,19:01:33,10/02/17,19:01:35,2,dbtest1,2,B02102017190133194227425
10/02/17,19:12:22,10/02/17,19:12:24,2,dbtest1,2,B02102017191222232250567
10/02/17,19:15:43,10/02/17,19:15:45,2,dbtest1,2,B02102017191543207160636
10/02/17,19:31:10,10/02/17,19:31:12,2,dbtest1,2,B02102017193110282190873
10/02/17,19:40:31,10/02/17,19:40:33,2,dbtest1,2,B02102017194031271451884
10/02/17,19:49:19,10/02/17,19:49:19,0,dbtest1,2,B02102017194919190834837
10/02/17,20:00:41,10/02/17,20:00:41,0,dbtest1,2,B02102017200041249055168
10/02/17,20:01:25,10/02/17,20:01:27,2,dbtest1,2,B02102017200125261561336
10/02/17,20:56:37,10/02/17,20:56:41,4,dbtest1,2,B02102017205637169232418
10/02/17,22:01:03,10/02/17,22:01:11,8,dbtest1,2,B02102017220103256743828
10/02/17,22:28:02,10/02/17,22:28:08,6,dbtest1,2,B02102017222802257120124
